epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,70.3455,0.92861,0.82397,1.34537,0.99327,0.94444,0.99237,0.70597,1.00709,0.82107,1.99526,0.0013004,0.0013004,0.0013004
55,71.4107,0.94438,0.79437,1.39795,1,0.99433,0.995,0.70076,1.00045,0.81668,2.03617,0.0012872,0.0012872,0.0012872
56,72.4835,0.86538,0.77617,1.38021,0.98783,0.94444,0.99,0.59412,1.19314,0.93155,2.21666,0.001274,0.001274,0.001274
57,73.5573,0.96771,0.91355,1.37892,0.98783,0.94444,0.99,0.59412,1.19314,0.93155,2.21666,0.0012608,0.0012608,0.0012608
58,74.5975,0.87132,0.7955,1.30907,0.99644,0.94444,0.99237,0.61383,1.15643,0.94394,2.18894,0.0012476,0.0012476,0.0012476
59,75.6788,0.849,0.78531,1.33664,1,0.99751,0.995,0.63376,1.12016,0.88356,2.28291,0.0012344,0.0012344,0.0012344
60,76.8126,0.85494,0.81363,1.35373,1,0.99857,0.995,0.65302,1.2379,0.84474,2.4771,0.0012212,0.0012212,0.0012212
61,77.9524,0.80538,0.74718,1.31864,1,0.99857,0.995,0.65302,1.2379,0.84474,2.4771,0.001208,0.001208,0.001208
62,78.9695,0.82407,0.72455,1.30886,0.99632,1,0.995,0.68563,1.18062,0.80852,2.38438,0.0011948,0.0011948,0.0011948
63,80.5318,0.83752,0.73859,1.34322,1,0.99344,0.995,0.69121,1.15497,0.81014,2.40442,0.0011816,0.0011816,0.0011816
64,82.2603,0.9979,0.91332,1.37537,0.78189,0.99596,0.89514,0.65037,1.10451,1.10652,2.26177,0.0011684,0.0011684,0.0011684
65,83.8536,0.84435,0.78735,1.29905,0.78189,0.99596,0.89514,0.65037,1.10451,1.10652,2.26177,0.0011552,0.0011552,0.0011552
66,84.995,0.92957,0.88307,1.36303,0.43114,0.94444,0.60739,0.4286,1.09365,1.66951,2.22725,0.001142,0.001142,0.001142
67,86.0404,0.81359,0.75797,1.2309,0.39048,0.88889,0.54522,0.35217,1.09587,1.90592,2.19579,0.0011288,0.0011288,0.0011288
68,87.2483,0.73427,0.64931,1.21554,0.53832,0.83333,0.64133,0.37255,1.14855,1.66621,2.29105,0.0011156,0.0011156,0.0011156
69,88.5469,0.85318,0.68677,1.26533,0.53832,0.83333,0.64133,0.37255,1.14855,1.66621,2.29105,0.0011024,0.0011024,0.0011024
70,90.342,0.83466,0.74952,1.259,0.65127,0.83333,0.76609,0.4372,1.24274,1.49962,2.3203,0.0010892,0.0010892,0.0010892
71,91.6642,0.78225,0.71679,1.26338,0.66519,0.77286,0.73823,0.43314,1.16779,1.50422,2.28123,0.001076,0.001076,0.001076
72,92.9037,0.78957,0.78398,1.3295,0.69734,0.89626,0.89887,0.57873,1.12854,1.26486,2.15595,0.0010628,0.0010628,0.0010628
73,94.1334,0.79543,0.72171,1.25408,0.69734,0.89626,0.89887,0.57873,1.12854,1.26486,2.15595,0.0010496,0.0010496,0.0010496
74,95.9123,0.80925,0.68031,1.19479,0.83107,0.94444,0.94809,0.63216,1.16562,1.20382,2.12543,0.0010364,0.0010364,0.0010364
