epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,2024.88,0.66105,0.55924,1.11298,0.93126,0.93249,0.95547,0.69912,0.6646,0.42305,1.35379,0.0001775,0.0001775,0.0001775
132,2040.09,0.67936,0.5871,1.11542,0.94588,0.9369,0.96693,0.69018,0.68025,0.41841,1.36878,0.00016925,0.00016925,0.00016925
133,2055.44,0.65526,0.55902,1.10767,0.96498,0.97447,0.99247,0.69116,0.68447,0.40757,1.34786,0.000161,0.000161,0.000161
134,2070.6,0.64678,0.56246,1.1085,0.9518,0.98555,0.994,0.7176,0.6692,0.41735,1.32505,0.00015275,0.00015275,0.00015275
135,2085.99,0.65241,0.54702,1.1126,0.90513,0.95153,0.96009,0.69488,0.67113,0.45334,1.31774,0.0001445,0.0001445,0.0001445
136,2101.52,0.66798,0.58552,1.11011,0.93407,0.96014,0.98285,0.70042,0.66564,0.43837,1.32817,0.00013625,0.00013625,0.00013625
137,2117.01,0.64567,0.57077,1.11394,0.92742,0.93442,0.95793,0.70432,0.66604,0.417,1.32334,0.000128,0.000128,0.000128
138,2132.58,0.66382,0.57334,1.10139,0.92546,0.97039,0.98455,0.7094,0.66688,0.41927,1.32079,0.00011975,0.00011975,0.00011975
139,2148.79,0.65846,0.54262,1.10999,0.93476,0.94592,0.96511,0.70065,0.65782,0.41927,1.31507,0.0001115,0.0001115,0.0001115
140,2164.62,0.63177,0.53796,1.10687,0.97032,0.95043,0.98701,0.70806,0.65987,0.41913,1.31591,0.00010325,0.00010325,0.00010325
141,2182.06,0.46548,0.39837,1.02864,0.95589,0.93339,0.97855,0.71848,0.65567,0.42917,1.31081,9.5e-05,9.5e-05,9.5e-05
142,2197,0.43773,0.34889,1.01629,0.97304,0.93508,0.9821,0.72037,0.64797,0.41955,1.31793,8.675e-05,8.675e-05,8.675e-05
143,2211.6,0.4374,0.33296,1.02401,0.97238,0.96061,0.98739,0.7281,0.64748,0.40471,1.31624,7.85e-05,7.85e-05,7.85e-05
144,2226.07,0.43752,0.32168,1.01742,0.97588,0.95827,0.98879,0.727,0.65241,0.38211,1.3268,7.025e-05,7.025e-05,7.025e-05
145,2240.6,0.42763,0.31502,1.01971,0.97623,0.95432,0.98902,0.72115,0.6478,0.37875,1.31941,6.2e-05,6.2e-05,6.2e-05
146,2255.35,0.4364,0.31114,1.01202,0.97119,0.97014,0.99288,0.72245,0.64452,0.37965,1.32221,5.375e-05,5.375e-05,5.375e-05
147,2270.11,0.41529,0.30583,1.00006,0.96174,0.9812,0.9936,0.72067,0.65589,0.37736,1.32402,4.55e-05,4.55e-05,4.55e-05
148,2284.71,0.4175,0.30151,1.00753,0.97041,0.97629,0.99367,0.72744,0.64898,0.37123,1.31891,3.725e-05,3.725e-05,3.725e-05
149,2299.74,0.40549,0.2968,0.98599,0.97105,0.97711,0.99372,0.71834,0.64405,0.37251,1.32096,2.9e-05,2.9e-05,2.9e-05
150,2315.31,0.38682,0.28521,0.97276,0.97076,0.97259,0.99066,0.72597,0.64127,0.37443,1.32259,2.075e-05,2.075e-05,2.075e-05
